Concepto,Templos
Adventista,2
Apostólica,43
Apostólica y profética,1
Asamblea,40
Asamblea de iglesias cristianas,1
Asambleas de Dios,1
Bautista,64
Bautista bíblica,1
Católica,196
Cristiana,145
Cristiana evangélica,1
Cristiana pentecostal apostólica,2
Cuadrangular pentecostal,1
Evangélica,7
Evangélica pentecostés,2
Frailes,1
Independiente,2
Interdenominacional,2
Metodista,38
Nazarena,2
Neotestamentaria,1
Otros,58
Pentecostal,12
Pentecostal asambleas de dios,1
Pentecostés,10
Presbiteriana,1
Profético,1
Reformada,1
Testigos de Jehová,40
Trinitaria,1
Total,678
