Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Promedio anual
2000,2.2,4.3,5.8,12.2,18.5,20.2,22.2,20.8,18.4,10.5,2.2,-0.2,11.4
2001,-1.3,2.3,6.2,10.3,16.6,21.3,22.3,20.8,18,12.1,6.6,-1.6,11.2
2002,0.7,1.6,5.8,13.1,15.8,21.8,21.5,22.5,18.3,11.8,4.5,0.7,11.5
2003,1.3,3.9,5.7,11,16.7,19.6,22.2,22.5,18.4,13.1,5.8,-0.6,11.6
2004,1.8,0.7,8.3,11.4,17.1,19.9,21.6,19.8,16.9,12.6,4.5,0.4,11.2
2005,2.9,4.9,6.2,10.4,15.7,21.2,22.6,20.7,18.6,11.7,4.5,1.2,11.7
2006,1.8,3.8,7.6,13.1,17.8,21.2,22.6,20.6,16,11.4,5.8,-0.9,11.7
2007,0.6,2.7,7.2,9.8,15.4,19.7,21.6,22.4,18.9,12,5.6,1.2,11.4
2008,1.1,3.7,6.3,10.4,15.7,22.3,21.2,20.4,15.9,10.6,4.3,1,11.1
2009,0.7,3.4,7.4,11.2,18.1,20.8,23.8,22.3,17.8,11.8,5.2,0.4,11.9
2010,-0.3,3.5,5.4,10.9,15.2,22.1,22.4,22.4,19.4,13.2,4.1,2.6,11.8
2011,-0.9,-1.3,9.1,13.8,15.9,22.2,23.6,24,19.4,12,4.8,-0.5,11.8
2012,1.7,3,5.9,13,16.6,22.4,22.1,22.4,17.6,12.7,6.6,1.6,12.1
2013,-0.7,1.5,7.9,11.7,17,22.9,22,22.3,18.9,11.3,5.7,0.1,11.7
2014,0.4,6.7,8.3,11.5,15.6,23.6,22.7,20.9,18.9,13.2,4.8,2.8,12.4
2015,0.2,3.9,8.6,12.1,15.3,22.2,22.6,23,20.7,14.3,5.9,1.5,12.5
2016,0.8,2.7,8.8,11.3,15.5,21.7,24.4,20.7,18.7,14.3,8.1,3.5,12.6
2017,3.3,6.1,10.2,12.8,16.4,22.2,22.4,21.1,19.7,13.6,8.4,2.2,13.2
2018,0.4,5.9,9.1,14.1,18.3,23.4,23.6,23.1,19.5,13.4,5.1,3.2,13.3
2019,1.6,3.7,8.1,12.3,15.5,21,23.9,24.2,20.9,12.2,5.7,2.6,12.6
2020,2.2,3.3,9.3,13.8,19.1,22.3,24.6,24.1,17,11.4,7.7,-0.9,12.8
2021,-0.3,2.7,7.3,12.7,17.1,21.9,21.7,21.4,18.7,12.4,6,4.3,12.2
2022,0.2,0.1,5.1,12.6,17.8,22.3,23.5,21.7,19.3,12.2,4.6,2.4,11.8
2023,1.6,2.2,7.8,11.9,17.7,16.1,25.7,23.9,20.8,14.5,8,2.4,12.7
2024,2.9,5.3,9.3,11.8,19.1,24.6,23.7,24.7,19.9,15.4,6.9,4,14
2025,-0.7,5.2,7.9,11.6,17.2,,,,,,,,
Media,0.9,3.3,7.5,12,16.8,21.6,22.8,22.1,18.7,12.5,5.7,1.3,12.1
Máx,3.3,6.7,10.2,14.1,19.1,24.6,25.7,24.7,20.9,15.4,8.4,4.3,14
Min,-1.3,-1.3,5.1,9.8,15.2,16.1,21.2,19.8,15.9,10.5,2.2,-1.6,11.1
