Ciclo Escolar,Tipo,Escuelas,Total,Masculino,Femenino
Ciclo Escolar 2010-2011,Total,139,"47,829","23,619","24,210"
Ciclo Escolar 2010-2011,Bachillerato,124,"41,473","20,524","20,949"
Ciclo Escolar 2010-2011,Bachillerato General,107,"30,512","14,884","15,628"
Ciclo Escolar 2010-2011,Bachillerato Tecnológico,17,"10,961","5,640","5,321"
Ciclo Escolar 2010-2011,Profesional Técnico,15,"6,356","3,095","3,261"
Ciclo Escolar 2011-2012,Total,137,"49,435","24,484","24,951"
Ciclo Escolar 2011-2012,Bachillerato,118,"42,623","21,004","21,619"
Ciclo Escolar 2011-2012,Bachillerato General,100,"29,747","14,453","15,294"
Ciclo Escolar 2011-2012,Bachillerato Tecnológico,18,"12,876","6,551","6,325"
Ciclo Escolar 2011-2012,Profesional Técnico,19,"6,812","3,480","3,332"
Ciclo Escolar 2012-2013,Total,142,"51,516","25,299","26,217"
Ciclo Escolar 2012-2013,Bachillerato,124,"44,443","21,740","22,703"
Ciclo Escolar 2012-2013,Bachillerato General,106,"30,525","14,757","15,768"
Ciclo Escolar 2012-2013,Bachillerato Tecnológico,18,"13,918","6,983","6,935"
Ciclo Escolar 2012-2013,Profesional Técnico,18,"7,073","3,559","3,514"
Ciclo Escolar 2013-2014,Total,122,"57,832","28,488","29,344"
Ciclo Escolar 2013-2014,Bachillerato,114,"54,703","27,362","27,341"
Ciclo Escolar 2013-2014,Bachillerato General,96,"36,023","17,383","18,640"
Ciclo Escolar 2013-2014,Bachillerato Tecnológico,18,"18,680","9,979","8,701"
Ciclo Escolar 2013-2014,Profesional Técnico,8,"3,129","1,126","2,003"
Ciclo Escolar 2014-2015,Total,122,"59,853","29,420","30,433"
Ciclo Escolar 2014-2015,Bachillerato,113,"56,974","28,503","28,471"
Ciclo Escolar 2014-2015,Bachillerato General,92,"36,896","17,680","19,216"
Ciclo Escolar 2014-2015,Bachillerato Tecnológico,21,"20,078","10,823","9,255"
Ciclo Escolar 2014-2015,Profesional Técnico,9,"2,879",917,"1,962"
Ciclo Escolar 2015-2016,Total,107,"61,181","29,670","31,511"
Ciclo Escolar 2015-2016,Bachillerato,102,"58,443","28,819","29,624"
Ciclo Escolar 2015-2016,Bachillerato General,81,"37,363","17,516","19,847"
Ciclo Escolar 2015-2016,Bachillerato Tecnológico,21,"21,080","11,303","9,777"
Ciclo Escolar 2015-2016,Profesional Técnico,5,"2,738",851,"1,887"
Ciclo Escolar 2016-2017,Total,154,"59,664","28,962","30,702"
Ciclo Escolar 2016-2017,Bachillerato,144,"57,067","28,133","28,934"
Ciclo Escolar 2016-2017,Bachillerato General,113,"35,490","16,676","18,814"
Ciclo Escolar 2016-2017,Bachillerato Tecnológico,31,"21,577","11,457","10,120"
Ciclo Escolar 2016-2017,Profesional Técnico,10,"2,597",829,"1,768"
Ciclo Escolar 2017-2018,Total,156,"62,474","30,522","31,952"
Ciclo Escolar 2017-2018,Bachillerato,147,"60,132","29,836","30,296"
Ciclo Escolar 2017-2018,Bachillerato General,115,"37,127","17,733","19,394"
Ciclo Escolar 2017-2018,Bachillerato Tecnológico,32,"23,005","12,103","10,902"
Ciclo Escolar 2017-2018,Profesional Técnico,9,"2,342",686,"1,656"
Ciclo Escolar 2018-2019,Total,148,"63,349","30,989","32,360"
Ciclo Escolar 2018-2019,Bachillerato,139,"61,229","30,463","30,766"
Ciclo Escolar 2018-2019,Bachillerato General,107,"37,884","18,212","19,672"
Ciclo Escolar 2018-2019,Bachillerato Tecnológico,32,"23,345","12,251","11,094"
Ciclo Escolar 2018-2019,Profesional Técnico,9,"2,120",526,"1,594"
Ciclo Escolar 2019-2020,Total,150,"60,827","29,164","31,663"
Ciclo Escolar 2019-2020,Bachillerato,140,"58,772","28,616","30,156"
Ciclo Escolar 2019-2020,Bachillerato General,108,"35,097","16,315","18,782"
Ciclo Escolar 2019-2020,Bachillerato Tecnológico,32,"23,675","12,301","11,374"
Ciclo Escolar 2019-2020,Profesional Técnico,10,"2,055",548,"1,507"
Ciclo Escolar 2020-2021,Total,153,"60,407","28,726","31,681"
Ciclo Escolar 2020-2021,Bachillerato,144,"58,787","28,321","30,466"
Ciclo Escolar 2020-2021,Bachillerato General,113,"34,261","15,655","18,606"
Ciclo Escolar 2020-2021,Bachillerato Tecnológico,31,"24,526","12,666","11,860"
Ciclo Escolar 2020-2021,Profesional Técnico,9,"1,620",405,"1,215"
Ciclo Escolar 2021-2022,Total,157,"58,926","27,521","31,405"
Ciclo Escolar 2021-2022,Bachillerato,149,"57,373","27,153","30,220"
Ciclo Escolar 2021-2022,Bachillerato General,115,"33,334","15,038","18,296"
Ciclo Escolar 2021-2022,Bachillerato Tecnológico,34,"24,039","12,115","11,924"
Ciclo Escolar 2021-2022,Profesional Técnico,8,"1,553",368,"1,185"
Ciclo Escolar 2022-2023,Total,148,"61,362","29,070","32,292"
Ciclo Escolar 2022-2023,Bachillerato,140,"59,918","28,700","31,218"
Ciclo Escolar 2022-2023,Bachillerato General,108,"34,376","15,716","18,660"
Ciclo Escolar 2022-2023,Bachillerato Tecnológico,32,"25,542","12,984","12,558"
Ciclo Escolar 2022-2023,Profesional Técnico,8,"1,444",370,"1,074"
Ciclo Escolar 2023-2024,Total,152,"61,287","28,963","32,324"
Ciclo Escolar 2023-2024,Bachillerato,144,"59,934","28,601","31,333"
Ciclo Escolar 2023-2024,Bachillerato General,109,"34,048","15,492","18,556"
Ciclo Escolar 2023-2024,Bachillerato Tecnológico,35,"25,886","13,109","12,777"
Ciclo Escolar 2023-2024,Profesional Técnico,8,"1,353",362,991
Ciclo Escolar 2024-2025,Total,146,"61,816","29,116","32,700"
Ciclo Escolar 2024-2025,Bachillerato,137,"60,546","28,832","31,714"
Ciclo Escolar 2024-2025,Bachillerato General,108,"35,056","16,024","19,032"
Ciclo Escolar 2024-2025,Bachillerato Tecnológico,29,"25,490","12,808","12,682"
Ciclo Escolar 2024-2025,Profesional Técnico,9,"1,270",284,986
